candidate_id,age,gender,surname,surname_category,hometown_state,hometown_type,education_level,education_num,years_experience,university_tier,previous_company_tier,skill_score,certifications_count,expected_salary,interview_score,hiring_decision,experience_per_age,skill_per_experience,certifications_per_year,salary_per_skill,is_male,is_female,is_general,is_obc,is_sc,is_st,is_tier1_uni,is_tier2_uni,is_tier3_uni,hours_per_week,occupation
CAND_00001,21,Male,Gupta,General,Delhi,Metro,Bachelor,2,0,Tier1,Tier2,55.6,2,13.96,7.9,0,0,55.6,2,0.25,1,0,1,0,0,0,1,0,0,0,Tech
CAND_00002,22,Female,Mehta,General,Gujarat,Tier2_city,Bachelor,2,0,Tier2,Tier1,72.7,2,9.62,6.7,1,0,72.7,2,0.13,0,1,1,0,0,0,0,1,0,0,Tech
CAND_00003,35,Female,Singh,General,Tamil Nadu,Tier2_city,Bachelor,2,12,Tier2,Tier1,71.8,4,15.96,10,1,0.8,5.52,0.31,0.22,0,1,1,0,0,0,0,1,0,24,Tech
CAND_00004,22,Female,Gupta,General,Delhi,Tier2_city,PhD,4,0,Tier1,Tier1,94.3,10,19.95,10,1,0,94.3,10,0.21,0,1,1,0,0,0,1,0,0,0,Tech
CAND_00005,40,Male,Kurmi,OBC,Uttar Pradesh,Rural,Bachelor,2,14,Tier2,Tier1,81.3,6,15.83,8.5,1,0.7,5.42,0.4,0.19,1,0,0,1,0,0,0,1,0,28,Tech
CAND_00006,31,Male,Oraon,ST,Madhya Pradesh,Rural,Master,3,7,Tier2,Tier2,84.2,3,16.15,9.5,1,0.64,10.52,0.38,0.19,1,0,0,0,0,1,0,1,0,14,Tech
CAND_00007,32,Male,Kurmi,OBC,Maharashtra,Metro,Master,3,8,Tier3,Tier3,83.2,6,14.48,10,1,0.67,9.24,0.67,0.17,1,0,0,1,0,0,0,0,1,16,Tech
CAND_00008,29,Female,Gond,ST,Odisha,Rural,Master,3,3,Tier2,Tier2,72.5,2,12.5,4.5,0,0.33,18.12,0.5,0.17,0,1,0,0,0,1,0,1,0,6,Tech
CAND_00009,38,Female,Mochi,SC,Punjab,Rural,Bachelor,2,14,Tier3,Tier3,75.8,4,21.46,8.2,1,0.78,5.05,0.27,0.28,0,1,0,0,1,0,0,0,1,28,Tech
CAND_00010,38,Female,Kurmi,OBC,Uttar Pradesh,Tier2_city,Master,3,13,Tier2,Tier1,97.9,4,22.29,7.6,0,0.72,6.99,0.29,0.23,0,1,0,1,0,0,0,1,0,26,Tech
CAND_00011,34,Male,Singh,General,Tamil Nadu,Tier2_city,Bachelor,2,9,Tier2,Tier1,70.8,6,16.69,9,0,0.64,7.08,0.6,0.23,1,0,1,0,0,0,0,1,0,18,Tech
CAND_00012,36,Female,Gupta,General,Karnataka,Rural,Bachelor,2,12,Tier2,Tier3,63.6,2,17.67,8.3,1,0.75,4.89,0.15,0.27,0,1,1,0,0,0,0,1,0,24,Tech
CAND_00013,30,Female,Paswan,SC,Punjab,Tier2_city,PhD,4,6,Tier1,Tier1,71.1,2,21.92,9.5,1,0.6,10.16,0.29,0.3,0,1,0,0,1,0,1,0,0,12,Tech
CAND_00014,36,Male,Oraon,ST,Odisha,Rural,Bachelor,2,12,Tier3,Tier2,65.8,2,15.76,8.6,0,0.75,5.06,0.15,0.24,1,0,0,0,0,1,0,0,1,24,Tech
CAND_00015,29,Male,Lodhi,OBC,Maharashtra,Metro,Bachelor,2,5,Tier1,Tier1,70.4,2,21.64,8.2,0,0.56,11.73,0.33,0.3,1,0,0,1,0,0,1,0,0,10,Tech
CAND_00016,32,Male,Gupta,General,Maharashtra,Rural,Master,3,8,Tier2,Tier2,63,1,18.52,7.5,1,0.67,7,0.11,0.29,1,0,1,0,0,0,0,1,0,16,Tech
CAND_00017,29,Male,Chamar,SC,Haryana,Rural,Bachelor,2,6,Tier2,Tier2,67.6,2,14.69,10,1,0.67,9.66,0.29,0.21,1,0,0,0,1,0,0,1,0,12,Tech
CAND_00018,28,Female,Reddy,General,Gujarat,Tier2_city,High School,1,5,Tier1,Tier1,70.5,5,18.59,6.2,1,0.62,11.75,0.83,0.26,0,1,1,0,0,0,1,0,0,10,Tech
CAND_00019,26,Male,Gupta,General,Gujarat,Metro,Master,3,3,Tier2,Tier3,70.1,5,12.05,10,1,0.5,17.52,1.25,0.17,1,0,1,0,0,0,0,1,0,6,Tech
